Date,Region_Name,Area_Code,Detached_Average_Price,Detached_Index,Detached_Monthly_Change,Detached_Annual_Change,Semi_Detached_Average_Price,Semi_Detached_Index,Semi_Detached_Monthly_Change,Semi_Detached_Annual_Change,Terraced_Average_Price,Terraced_Index,Terraced_Monthly_Change,Terraced_Annual_Change,Flat_Average_Price,Flat_Index,Flat_Monthly_Change,Flat_Annual_Change
01/01/1996,Tower Hamlets,E09000030,102544.2724,15.98553108,5.951351076,9.640549592,95090.84292,15.79550228,5.441329594,11.27581152,81012.65805,14.87152131,5.638544886,10.5858563,66781.17712,16.83653498,5.555468118,13.57572392
01/01/1996,Sutton,E09000029,162516.0528,23.38472501,-0.311818323,-3.199982373,94429.40836,22.34882481,-0.323928787,-1.524186744,65083.03624,21.85423442,0.003083526,-2.066850913,54192.4973,24.27664183,-0.515635122,-2.35117552
01/01/1996,City of Westminster,E09000033,339480.1264,12.66716871,-0.644644427,-2.656577912,297863.817,12.42737412,0.005870056,-0.423708918,198670.9041,12.42779288,0.489238213,-0.160892911,127530.2258,13.86584451,0.332165174,0.733550443
01/01/1996,Croydon,E09000008,145494.3624,24.62698637,-0.599803603,-3.0162864,88141.03646,23.27902872,-0.676930816,-0.955914938,62720.9207,22.47513694,-0.460581192,-1.600433888,54724.65081,25.50172209,-0.938058236,-1.913730802
01/01/1996,Brent,E09000005,157295.9522,17.39300154,0.249644498,0.16271002,99969.19087,16.83478273,0.262676714,2.602605893,82231.07191,16.14022449,0.553572748,1.788253609,61823.04137,18.08067046,0.38650001,2.263828978
01/01/1996,Bromley,E09000006,167369.1159,22.75637487,-0.910026559,-0.487093627,97085.77679,21.89894173,-0.908391304,1.36133654,69887.07535,21.09390319,-0.73641892,0.895105649,59344.13563,23.52720252,-1.22772056,0.19171201
01/01/1996,Ealing,E09000009,185392.2387,19.92220273,0.296454134,-1.661787689,108718.4778,19.32400902,0.514046461,0.589805684,85149.35097,18.25845646,0.876460354,0.404023534,69542.19902,20.83163896,0.496639541,0.558341466
01/01/1996,Barking and Dagenham,E09000002,96576.66878,24.90313668,-0.788495124,-1.234863352,64217.05888,23.21543003,-0.498291376,1.333152309,53755.17738,22.64758151,-0.155429626,0.608076531,43607.25953,25.34236594,-0.208689138,0.965174656
01/01/1996,Barnet,E09000003,211482.7346,19.82336072,-0.292210104,-3.702818022,118819.3237,19.16080557,0.030877597,-1.953125741,86265.54031,18.39600867,0.222620994,-1.954154351,73237.0106,21.06174415,-0.162640171,-2.544693538
01/01/1996,Bexley,E09000004,112484.5262,25.98591304,0.274975238,-2.973978892,79709.50539,24.54043143,0.168470018,-1.130428312,62113.28939,23.6849183,0.536238998,-1.636646688,48923.19271,26.37115772,0.024141997,-2.190684286
01/01/1996,Southwark,E09000028,209249.0209,14.73934819,4.826141206,-6.499377617,123048.9232,14.62685994,5.135290832,-4.252407239,84670.95271,13.69741852,5.532747721,-4.074164135,59732.72675,15.34295852,5.340015293,-1.826200003
01/01/1996,Enfield,E09000010,169277.3602,22.81753232,-1.276704393,-1.849520603,105738.2031,22.430192,-1.329012576,-1.007193535,71247.34265,21.87386244,-1.025651284,-1.512548891,56360.54127,24.20207646,-1.322480841,-1.092601334
01/01/1996,Hounslow,E09000018,143962.0418,22.88767409,-0.199222968,-0.121373767,97679.30829,21.72771749,-0.25589966,1.561540366,80818.93478,20.7979286,0.085501674,1.566300876,62206.22477,23.04113344,-0.328502205,1.833668474
01/01/1996,Kingston upon Thames,E09000021,164818.5004,19.58494435,-1.195699856,1.001523284,105001.7945,19.03676704,-1.125768926,2.366853856,76033.6966,18.52091618,-0.935631029,2.145444766,63776.06568,20.36936069,-1.558576178,2.211007588
01/01/1996,Lambeth,E09000022,149155.5348,15.62096028,1.698561065,-0.603146349,113631.8826,14.73317492,2.117232619,1.415884407,87213.37886,14.36875357,2.501869204,1.271056119,63263.24373,16.35314547,2.307187777,1.818502809
01/01/1996,Lewisham,E09000023,119082.933,17.90966273,-0.098985128,-6.445435898,89505.7043,16.67600802,-0.023616007,-4.22467531,64177.05067,16.23807231,0.406669361,-4.637995416,51967.18733,18.1010774,0.04850102,-3.46836504
01/01/1996,Richmond upon Thames,E09000027,237122.2063,19.33121914,2.178308755,-0.952952134,152036.441,18.57654668,2.36308324,1.54304126,115348.6449,17.52759925,2.61703782,2.608462156,84187.84816,20.10875622,2.192946563,1.191856941
01/01/1996,Redbridge,E09000026,155943.8945,23.31394016,0.448634463,0.090819695,96676.12727,22.12353936,0.189339546,1.794429093,73095.30414,21.54772526,0.451591248,0.672925584,56235.52354,24.08024296,0.348344288,0.86252621
01/01/1996,Greenwich,E09000011,127836.8998,19.8331641,-2.75742831,-1.558616512,88784.61007,19.47015205,-2.814864954,0.214078468,64379.39137,18.58288037,-2.457636509,0.007647497,57816.38353,21.10428655,-2.838549485,1.099309691
01/01/1996,Hackney,E09000012,116105.7197,14.4056996,0.824476718,6.892665272,102425.3466,13.26358319,0.284330564,9.123455537,84176.49025,12.69635714,0.762676853,7.932720863,63861.83171,14.77840807,0.66781079,8.545104561
01/01/1996,Hammersmith and Fulham,E09000013,209789.0779,17.67214056,3.933326527,0.276520966,198974.6413,16.87083772,3.166522958,1.686742862,161501.5935,16.03961749,3.56089464,1.876977722,116662.7745,18.29270227,3.289956209,1.354127823
01/01/1996,Haringey,E09000014,272052.4593,18.04791631,-0.313360863,4.68901353,135451.3012,17.32474784,0.160927674,7.0259278,85764.474,16.78985688,0.63140138,6.779886933,74434.58513,18.98063439,0.251921295,7.667882045
01/01/1996,Harrow,E09000015,191928.7193,21.21396226,1.358266037,-3.525042187,99845.72331,20.82658623,1.401208754,-1.193007416,77966.60638,20.16560894,1.693407292,-1.935318588,64014.86838,22.85568335,1.148303752,-2.346116741
01/01/1996,Havering,E09000016,130335.2611,24.80626549,0.836659635,-1.712080004,79454.39718,24.13277524,0.784945127,-0.44773765,60911.24969,23.41154722,1.072448407,-1.333837685,48681.848,26.75275979,0.839096553,-1.032720784
01/01/1996,Hillingdon,E09000017,143550.023,22.7074833,0.30235845,-2.331996349,86837.27707,21.77965924,0.110272306,-0.570926358,66397.94719,21.12631895,0.357527553,-1.520228011,52272.8211,23.32689875,-0.163396798,-2.079838017
01/01/1996,Islington,E09000019,214237.331,13.86173075,-1.920451773,-3.408824704,141581.3656,13.13961897,-2.193291995,-2.653693047,120296.22,12.78014957,-1.755701618,-3.28177118,83093.78891,15.09218531,-1.864158533,-3.518810576
01/01/1996,Kensington and Chelsea,E09000020,532045.0754,15.39157836,-0.977282396,5.259799222,491920.5469,13.98835071,-1.357711534,7.828438953,333400.0425,13.67845158,-0.811399264,7.818991477,177509.3424,15.52123521,-1.320710581,8.825230839
01/01/1996,Newham,E09000025,103381.9914,22.29562746,-0.480973737,1.588170942,72318.97808,19.2145936,-0.390505335,2.949564483,54686.03232,18.82189576,-0.270012468,1.362146631,54412.6535,20.60683842,0.096222533,3.834293559
01/01/1996,Waltham Forest,E09000031,116818.8806,20.0989932,1.064866387,-0.087228017,91234.59939,18.36041295,0.93154874,1.707402116,64766.59006,17.60392839,1.156811549,1.163242699,55018.87587,20.04007621,0.861719719,0.96354859
01/01/1996,Wandsworth,E09000032,238835.7807,15.78121851,-0.028258038,-2.480017488,160439.2024,15.34781994,0.475351887,0.273196481,110110.4936,14.78627931,0.864079135,0.83365262,81412.85256,17.09342256,0.637213818,0.677115008
01/01/1996,Camden,E09000007,390068.7781,15.05039262,0.252683918,-4.140669116,245954.3967,14.00751943,0.49049503,-1.039125047,163355.2347,13.82653506,0.742722204,-0.75035638,110612.666,15.91860266,0.708221573,-1.156932024
01/01/1996,Merton,E09000024,220676.4511,18.31995877,1.244516359,-2.70386704,121799.4237,19.07289187,2.067333382,-0.745357127,81810.0206,18.34220501,2.362480645,-0.94723275,66595.36564,20.61436152,1.914453409,-0.901689676
01/02/1996,Waltham Forest,E09000031,115460.6739,19.8653102,-1.162660246,2.024625585,90481.04709,18.2087651,-0.825950135,2.836931888,64355.01917,17.49206108,-0.635467909,2.117357635,54234.7405,19.75446273,-1.425211554,2.054525255
